domain,trial,our_id,competitor_id,fr_winner,fr_reason,fr_ours,fr_competitor,tu_winner,tu_reason,tu_ours,tu_competitor,sv_winner,sv_reason,sv_ours,sv_competitor,overall_winner,overall_reason
AI,1,US11475102B2,US20230297372A1,competitor,"The second patent, US20230297372A1, has a broader functional purpose, as it improves performance in computations involving multi-dimensional data arrays, while the first patent focuses specifically on matrix multiplication operations within deep neural networks.",Accelerates matrix multiplication operations in deep neural networks to reduce running time.,"Improves performance in computations involving multi-dimensional data arrays for technology fields like numerical simulations, graphics processing, gaming consoles, supercomputing, and DNN layers",ours,"The first patent, US11475102B2, presents a unique adaptive system with dual multiplying units and burst memory access mode for parallel processing. The second patent combines SIMD VPU, MXU, and XU but does not present a unique combination in comparison.",Implements an adaptive system with dual multiplying units and burst memory access mode for parallel processing.,"Combines SIMD VPU, MXU, and XU with tightly coupled processor units and vector memory to boost performance for certain computations",competitor,"The second patent, US20230297372A1, has higher strategic value due to its potential applicability in various technology fields such as high-performance computing, data processing, and artificial intelligence. Although the first patent enhances performance for deep learning applications, it is more limited in its potential impact.","Enhances the performance of deep learning applications, increasing their applicability and competitiveness.","Potentially improves product competitiveness in technology fields such as high-performance computing, data processing, and artificial intelligence by providing enhanced performance, resource utilization, or flexibility",competitor,The second patent offers a broader scope of improvement in computations and higher potential strategic value.
AI,1,US11475102B2,CN109992743B,tie,Both patents aim to accelerate matrix multiplication operations in deep neural networks.,Accelerates matrix multiplication operations in deep neural networks to reduce running time.,Speeds up and makes flexible matrix multiplication through partitioning and parallel processing.,ours,The adaptive system with dual multiplying units and burst memory access mode for parallel processing is not found in CN109992743B.,Implements an adaptive system with dual multiplying units and burst memory access mode for parallel processing.,Uses a systolic array for concurrent subblock processing in matrix multiplication.,ours,"Enhancing the performance of deep learning applications increases their applicability and competitiveness, whereas improving computation efficiency expands applicability across various computational systems.","Enhances the performance of deep learning applications, increasing their applicability and competitiveness.","Improves computation efficiency, expanding applicability across various computational systems.",ours,The US patent presents a more comprehensive approach with unique technical features and higher strategic value.
AI,1,US11475102B2,US11347652B2,ours,"The first patent (US11475102B2) explicitly focuses on accelerating matrix multiplication operations in deep neural networks, which is directly related to the functional purpose of deep learning applications.",Accelerates matrix multiplication operations in deep neural networks to reduce running time.,Addresses memory bandwidth problem in scaling up Deep Neural Network accelerators by using a banked memory structure with multiple local memories and channels for data distribution.,ours,"The first patent (US11475102B2) presents an adaptive system with dual multiplying units and burst memory access mode for parallel processing, which is a technical aspect not directly present in the second patent.",Implements an adaptive system with dual multiplying units and burst memory access mode for parallel processing.,Improves scalability by decoupling data access from a single logically unified memory structure through a distributed banked memory architecture.,tie,"Both patents enhance the performance of deep learning applications, increasing their applicability and competitiveness. The first patent does so by reducing running time, while the second patent potentially increases compute throughput.","Enhances the performance of deep learning applications, increasing their applicability and competitiveness.","Potentially increases compute throughput of DNN accelerators, making them more competitive in the market for high-performance computing and artificial intelligence applications.",ours,The first patent (US11475102B2) offers a more comprehensive approach to improving deep learning performance by addressing both the functional and technical aspects.
AI,1,US11475102B2,CN109478252B,tie,"Both patents aim to accelerate neural network operations, but neither specifically addresses matrix multiplication operations like the other.",Accelerates matrix multiplication operations in deep neural networks to reduce running time.,"Addresses limited performance in neural network operations on CPUs and GPUs not optimized for neural network-specific tasks like convolution, max pooling, and noise generation by providing hardware optimizations specific to these operations.",competitor,"The patent CN109478252B uses optimized multicast networks, memory transfer optimization, and DRAM permutation techniques, which are not explicitly mentioned in US11475102B2.",Implements an adaptive system with dual multiplying units and burst memory access mode for parallel processing.,"Utilizes a system environment with optimized multicast networks, memory transfer optimization, and DRAM permutation techniques for efficient hardware acceleration of deep neural networks.",competitor,"The patent CN109478252B improves performance in deep neural network operations, contributing to business success by enabling more accurate predictions and decision-making, whereas US11475102B2 enhances the performance of deep learning applications generally.","Enhances the performance of deep learning applications, increasing their applicability and competitiveness.","Improves performance in deep neural network operations due to hardware optimizations, resulting in faster processing times, reduced resource consumption, and greater flexibility, which can contribute to business success by enabling more accurate predictions and decision-making in various industries.",competitor,"Patent CN109478252B provides more comprehensive hardware optimizations for deep neural networks, offering a strategic edge in various industries."
Energy,1,US9257711B2,US11955674B1,ours,"The US9257711B2 patent aims to improve the efficiency of molten carbonate fuel cells by adjusting hydrogen provided to the anode, thus increasing utilization beyond traditional 70%-75%. In contrast, the US11955674B1 patent focuses on reducing carbon dioxide emissions in hydrocarbon cracking systems during olefin production.","Improves efficiency of molten carbonate fuel cells by adjusting hydrogen provided to the anode, increasing utilization beyond traditional 70%-75%.",Reduces carbon dioxide emissions in hydrocarbon cracking systems during olefin production by converting methane into electricity.,ours,"The US9257711B2 patent recycles hydrogen-rich exhaust back to the anode inlet for increased utilization range of over 10%-30%, with external and internal reforming. The US11955674B1 patent converts methane from the cracking process into electricity using a fuel cell.","Recycles hydrogen-rich exhaust back to the anode inlet for increased utilization range of over 10%-30%, with external and internal reforming.","Converts methane from the cracking process into electricity using a fuel cell, separating and utilizing the carbon dioxide as a byproduct.",ours,"The strategic value of the US9257711B2 lies in increasing energy production and more efficient use of hydrogen, potentially contributing to business success in renewable energy systems. The strategic value of the US11955674B1 is improving environmental performance of hydrocarbon cracking systems, offering potential compliance with stricter emission regulations.","Increases energy production and more efficient use of hydrogen, potentially contributing to business success in renewable energy systems.","Improves environmental performance of hydrocarbon cracking systems, offering potential compliance with stricter emission regulations.",ours,"The US9257711B2 patent offers more direct business benefits, while the US11955674B1 focuses on environmental compliance."
Energy,1,US9257711B2,EP4469183A1,competitor,"The EP4469183A1 aims to remove CO2 from H2-rich gas mixtures, which is a more direct approach to addressing environmental concerns related to greenhouse gas emissions compared to improving the efficiency of molten carbonate fuel cells as in US9257711B2.","Improves efficiency of molten carbonate fuel cells by adjusting hydrogen provided to the anode, increasing utilization beyond traditional 70%-75%.","Removes CO2 from H2-rich gas mixtures, producing high-purity H2 for further use or storage, reducing emissions.",ours,"The US9257711B2 uses recycling hydrogen-rich exhaust for increased utilization, which is a unique approach to improving the efficiency of molten carbonate fuel cells compared to the pressure swing adsorption (PSA) unit used in EP4469183A1.","Recycles hydrogen-rich exhaust back to the anode inlet for increased utilization range of over 10%-30%, with external and internal reforming.",Uses a pressure swing adsorption (PSA) unit integrated with hydrogen production process to selectively capture CO2.,competitor,"The EP4469183A1 directly addresses the issue of reducing CO2 emissions, contributing to global warming mitigation and producing a higher purity H2 product, which is more pressing than simply increasing energy production from renewable sources.","Increases energy production and more efficient use of hydrogen, potentially contributing to business success in renewable energy systems.","Reduces CO2 emissions contributing to mitigating global warming, provides higher purity H2 product.",competitor,"The EP4469183A1 addresses more immediate and critical concerns related to reducing CO2 emissions and global warming, setting it apart from the US9257711B2."
Energy,1,US9257711B2,US9502728B1,competitor,"The functional purpose of the first patent includes carbon dioxide capture, which is not mentioned in the second patent.","Improves efficiency of molten carbonate fuel cells by adjusting hydrogen provided to the anode, increasing utilization beyond traditional 70%-75%.",Sustainable heat and electricity production from fossil fuels with carbon dioxide capture capability.,tie,"Both patents demonstrate technical uniqueness by proposing innovative solutions. However, the unique technical approach for CO2 capture (US9502728B1) and increased hydrogen utilization range (US9257711B2) can be considered as equally valuable.","Recycles hydrogen-rich exhaust back to the anode inlet for increased utilization range of over 10%-30%, with external and internal reforming.","Multi-stack fuel cell system for efficient conversion of chemical energy into electrical energy, including CO2 capture.",competitor,"The strategic value of the first patent lies in its potential to reduce carbon footprint and support compliance with future emission regulations, which is not directly mentioned for the second patent.","Increases energy production and more efficient use of hydrogen, potentially contributing to business success in renewable energy systems.",Potential to reduce carbon footprint and support compliance with future emission regulations in various industries.,competitor,"The first patent offers a more comprehensive solution by addressing carbon emissions, providing it with a greater overall strategic value."
Energy,1,US9257711B2,US10252243B2,ours,"The first patent improves the efficiency of molten carbonate fuel cells, focusing on adjusting hydrogen provided to the anode to increase utilization beyond traditional 70%-75%, whereas the second patent addresses high costs and energy penalties in current CO2 capture processes.","Improves efficiency of molten carbonate fuel cells by adjusting hydrogen provided to the anode, increasing utilization beyond traditional 70%-75%.","Addresses high costs and energy penalties in current CO2 capture processes by utilizing an oxygen carrier in a chemical looping combustion process, enabling exhaust gas stream to consist of CO2 and H2O only",ours,"The first patent recycles hydrogen-rich exhaust back to the anode inlet for increased utilization range of over 10%-30%, with external and internal reforming, while the second patent utilizes an oxygen carrier in a chemical looping combustion process to minimize energy penalty for CO2 capturing at lower temperature.","Recycles hydrogen-rich exhaust back to the anode inlet for increased utilization range of over 10%-30%, with external and internal reforming.","Offers minimal energy penalty for CO2 capturing (estimated at 2-3% efficiency lost) through oxidation at lower temperature (<1200°C), reducing NOx formation",tie,"Both patents have high strategic value: The first patent increases energy production and more efficient use of hydrogen, contributing to success in renewable energy systems, while the second reduces operational costs due to absence of gas separation steps and decreases NOx emissions, making it cost-effective and compliant with regulations.","Increases energy production and more efficient use of hydrogen, potentially contributing to business success in renewable energy systems.","Reduces operational costs due to absence of gas separation steps and decreases NOx emissions, making it cost-effective and compliant with regulations",ours,"The first patent offers a more unique technical approach to improving the efficiency of molten carbonate fuel cells, which potentially has a greater impact on energy production."
Consumer,1,US10231596B2,US11219349B2,ours,"The functional purpose of the first patent improves overall cleaning efficiency, while the second patent focuses on wash arm assembly rotation stabilization during varying pressure conditions.",Improves overall cleaning efficiency in dish washing machines by optimizing the distribution of washing water through a movable vane and fixed nozzle.,Stabilizes rotation of wash arm assembly during varying pressure conditions in a dishwasher,ours,"The technical uniqueness of the first patent lies in its linear type jet structure that reflects water from a fixed nozzle towards the dish using a movable vane, whereas the second patent introduces a mounting unit with a radial supporting portion inserted into the wash arm.",Enhances cleaning coverage with a linear type jet structure that reflects water from a fixed nozzle towards the dish using a movable vane.,A mounting unit with a radial supporting portion inserted into the wash arm allows for improved rotational stability,ours,"The strategic value of the first patent is higher as it provides improved washing efficiency, which directly contributes to product competitiveness in current or near-term dish washing machines.",Enhances product competitiveness by providing improved washing efficiency in current or near-term dish washing machines.,"Enhances performance and durability of dishwashers, contributing to product competitiveness",ours,The first patent offers a more impactful improvement in the functional and strategic aspects of dishwashers.
Consumer,1,US10231596B2,US12029369B2,competitor,"The first patent (US12029369B2) focuses on a more specific application, ensuring the cleanliness and sanitation of reusable beverage containers in a retail environment. In contrast, the second patent (US10231596B2) is related to dish washing machines, which is a broader functional purpose.",Improves overall cleaning efficiency in dish washing machines by optimizing the distribution of washing water through a movable vane and fixed nozzle.,Ensures cleanliness and sanitation of customer-provided reusable beverage containers in a retail environment by rapidly washing them using a pop-up sprayer that rotates along an axis and moves multiple nozzles.,competitor,"The first patent (US12029369B2) presents an innovative design featuring a rotating and moving pop-up sprayer with multiple nozzles. The second patent (US10231596B2), while also unique, uses a linear type jet structure and a movable vane to reflect water from a fixed nozzle.",Enhances cleaning coverage with a linear type jet structure that reflects water from a fixed nozzle towards the dish using a movable vane.,"Innovative design featuring a rotating and moving pop-up sprayer with multiple nozzles that allows rapid, targeted washing of the container's interior and exterior.",competitor,"The first patent (US12029369B2) provides an efficient, sanitary solution for retail establishments, which can potentially improve customer satisfaction and promote sustainability. The second patent (US10231596B2) enhances washing efficiency in dish washing machines, but its strategic value is more limited to the dish washing industry.",Enhances product competitiveness by providing improved washing efficiency in current or near-term dish washing machines.,"Provides an efficient, sanitary solution for retail establishments by reducing cleaning time and space required for customer-provided reusable beverage containers, potentially improving customer satisfaction and promoting sustainability.",competitor,"The first patent presents a more innovative design and broader strategic value, particularly in addressing environmental concerns."
